CoC Number,CoC Name,2019,2020,2021,2022,2023
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",438,392,456,425,395
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",492,540,583,517,617
MO-602,"Joplin/Jasper, Newton Counties CoC",237,313,210,231,255
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",255,241,150,148,175
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1979,1973,1575,1783,1986
MO-606,Missouri Balance of State CoC,1362,1569,764,1571,1792
MS-500,"Jackson/Rankin, Madison Counties CoC",408,406,147,654,315
MS-501,Mississippi Balance of State CoC,480,447,268,342,412
MS-503,Gulf Port/Gulf Coast Regional CoC,296,254,211,200,255
MT-500,Montana Statewide CoC,1357,1545,1801,1585,2178
NC-500,Winston-Salem/Forsyth County CoC,454,504,462,429,396
NC-501,Asheville/Buncombe County CoC,580,547,527,637,573
NC-502,Durham City & County CoC,361,349,396,459,375
NC-503,North Carolina Balance of State CoC,2989,3185,1520,2491,3311
NC-504,"Greensboro, High Point CoC",586,624,482,426,452
NC-505,Charlotte/Mecklenberg CoC,1742,1604,1947,1761,1916
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",431,350,301,347,558
NC-507,Raleigh/Wake County CoC,970,974,912,1534,916
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",324,325,277,497,388
NC-511,Fayetteville/Cumberland County CoC,329,297,54,475,474
NC-513,Chapel Hill/Orange County CoC,131,124,176,133,126
NC-516,Northwest North Carolina CoC,417,397,195,193,269
ND-500,North Dakota Statewide CoC,557,541,548,610,784
NE-500,Nebraska Balance of State CoC,506,542,425,482,558
NE-501,"Omaha, Council Bluffs CoC",1410,1405,1190,1346,1475
NE-502,Lincoln CoC,449,457,320,418,429
NH-500,New Hampshire Balance of State CoC,669,877,775,851,1555
NH-501,Manchester CoC,461,498,519,513,538
NH-502,Nashua/Hillsborough County CoC,266,300,197,241,348
NJ-500,Atlantic City & County CoC,357,443,326,343,440
NJ-501,Bergen County CoC,271,352,279,306,390
NJ-502,Burlington County CoC,518,553,604,585,933
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",979,1047,935,994,1167
NJ-504,Newark/Essex County CoC,2235,2209,1888,1914,1594
NJ-506,"Jersey City, Bayonne/Hudson County CoC",890,944,882,665,920
NJ-507,New Brunswick/Middlesex County CoC,620,666,628,586,660
NJ-508,Monmouth County CoC,359,399,322,453,483
NJ-509,Morris County CoC,388,354,268,351,465
NJ-510,Lakewood Township/Ocean County CoC,305,349,369,419,434
NJ-511,Paterson/Passaic County CoC,391,583,324,374,392
NJ-512,Salem County CoC,29,32,18,20,67
NJ-513,Somerset County CoC,301,342,226,220,338
NJ-514,Trenton/Mercer County CoC,448,556,393,533,714
NJ-515,Elizabeth/Union County CoC,437,484,571,675,848
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",334,349,229,314,419
NM-500,Albuquerque CoC,1524,1586,1567,1277,2394
NM-501,New Mexico Balance of State CoC,1717,1747,1180,1283,1448
NV-500,Las Vegas/Clark County CoC,5530,5283,5083,5645,6566
NV-501,"Reno, Sparks/Washoe County CoC",1256,1231,1708,1605,1690
NV-502,Nevada Balance of State CoC,383,386,299,368,410
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",849,815,521,748,803
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",240,252,256,497,594
NY-503,Albany City & County CoC,750,820,723,734,889
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",732,618,469,712,924
NY-507,Schenectady City & County CoC,372,434,266,289,430
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",924,872,663,856,1560
NY-510,Ithaca/Tompkins County CoC,171,133,144,152,273
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",318,317,318,483,676
NY-512,Troy/Rensselaer County CoC,199,232,173,148,156
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",205,301,309,372,426
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",96,112,107,108,136
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",168,191,143,244,282
NY-519,"Columbia, Greene Counties CoC",200,170,117,114,135
NY-520,"Franklin, Essex Counties CoC",24,39,40,43,63
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",53,67,93,130,182
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",268,308,237,222,332
NY-525,New York Balance of State Continuum of Care,527,463,341,606,687
NY-600,New York City CoC,78604,77943,68358,61840,88025
NY-601,Poughkeepsie/Dutchess County CoC,533,591,536,636,691
NY-602,"Newburgh, Middletown/Orange County CoC",589,471,280,339,491
NY-603,"Nassau, Suffolk Counties CoC",3843,3807,3050,3034,3536
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1812,1683,1383,1356,1317
NY-606,Rockland County CoC,182,193,53,106,157
NY-608,Kingston/Ulster County CoC,432,439,340,409,435
OH-500,Cincinnati/Hamilton County CoC,1082,1092,1016,1081,967
OH-501,Toledo/Lucas County CoC,611,602,383,494,631
OH-502,Cleveland/Cuyahoga County CoC,1618,1675,1557,1574,1629
OH-503,Columbus/Franklin County CoC,1907,2036,1365,1912,2337
OH-504,Youngstown/Mahoning County CoC,148,100,62,174,161
OH-505,"Dayton, Kettering/Montgomery County CoC",681,736,568,656,870
OH-506,"Akron, Barberton/Summit County CoC",546,587,394,441,648
OH-507,Ohio Balance of State CoC,3479,3577,2336,4075,3823
OH-508,"Canton, Massillon, Alliance/Stark County CoC",273,250,234,247,320
OK-500,North Central Oklahoma CoC,178,221,132,214,214
OK-501,Tulsa City & County CoC,1188,1221,1043,1063,1133
OK-502,Oklahoma City CoC,1273,1573,672,1339,1436
OK-503,Oklahoma Balance of State CoC,279,161,125,216,339
OK-504,Norman/Cleveland County CoC,347,266,106,197,213
OK-505,Northeast Oklahoma CoC,228,55,79,281,331
OK-506,Southwest Oklahoma Regional CoC,158,165,61,134,409
OK-507,Southeastern Oklahoma Regional CoC,293,270,476,310,573
OR-500,"Eugene, Springfield/Lane County CoC",2165,1606,2317,2880,2824
OR-501,"Portland, Gresham/Multnomah County CoC",4015,4173,1780,5228,6297
OR-502,"Medford, Ashland/Jackson County CoC",712,727,773,1251,1143
OR-503,Central Oregon CoC,880,913,1116,1359,1647
OR-504,"Salem/Marion, Polk Counties CoC",,624,549,1805,1683
OR-505,Oregon Balance of State CoC,7103,5642,1305,4057,5365
OR-506,"Hillsboro, Beaverton/Washington County CoC",530,618,716,808,773
OR-507,Clackamas County CoC,471,352,492,571,410
PA-500,Philadelphia CoC,5735,5634,4302,4489,4725
PA-501,Harrisburg/Dauphin County CoC,418,402,358,423,353
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",400,367,279,335,360
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",164,181,138,150,138
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",246,282,261,568,357
PA-505,Chester County CoC,528,522,327,402,436
PA-506,Reading/Berks County CoC,597,524,513,573,554
PA-508,Scranton/Lackawanna County CoC,186,177,165,188,234
PA-509,Eastern Pennsylvania CoC,1843,2032,1396,2290,2024
PA-510,Lancaster City & County CoC,422,461,394,472,526
PA-511,"Bristol, Bensalem/Bucks County CoC",359,333,282,427,320
PA-512,York City & County CoC,321,370,237,358,332
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",774,887,692,880,1026
PA-601,Western Pennsylvania CoC,727,754,603,735,730
PA-603,Beaver County CoC,123,101,138,103,70
PA-605,Erie City & County CoC,356,348,254,298,371
PR-502,Puerto Rico Balance of Commonwealth CoC,1345,1299,314,1026,1077
PR-503,South-Southeast Puerto Rico CoC,1190,1152,125,1189,1165
RI-500,Rhode Island Statewide CoC,1055,1104,1267,1577,1810
SC-500,Charleston/Low Country CoC,403,433,274,324,404
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1401,1536,783,1263,1424
SC-502,Columbia/Midlands CoC,1215,1140,938,987,1165
SC-503,"Myrtle Beach, Sumter City & County CoC",1153,1178,1212,1034,1060
SD-500,South Dakota Statewide CoC,995,1058,817,1389,1282
TN-500,Chattanooga/Southeast Tennessee CoC,463,648,1482,3392,1735
TN-501,Memphis/Shelby County CoC,1325,1022,739,1055,1292
TN-502,Knoxville/Knox County CoC,800,745,786,1178,921
TN-503,Central Tennessee CoC,357,517,292,387,235
TN-504,Nashville-Davidson County CoC,1986,2016,1107,1916,2129
TN-506,Upper Cumberland CoC,273,332,382,382,613
TN-507,Jackson/West Tennessee CoC,959,861,891,906,765
TN-509,Appalachian Regional CoC,405,386,310,392,572
TN-510,Murfreesboro/Rutherford County CoC,384,322,362,371,337
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",515,407,472,588,616
TX-500,San Antonio/Bexar County CoC,2872,2932,1499,2995,3155
TX-503,Austin/Travis County CoC,2255,2506,2954,3157,2374
TX-600,"Dallas City & County, Irving CoC",4538,4471,4570,4410,4244
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2028,2126,1300,1665,2776
TX-603,El Paso City & County CoC,809,843,528,836,1112
TX-604,Waco/McLennan County CoC,193,234,143,195,242
TX-607,Texas Balance of State CoC,8072,9198,2562,7054,9065
TX-611,Amarillo CoC,777,600,487,661,683
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",243,236,156,249,264
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3938,3974,3047,3124,3270
TX-701,"Bryan, College Station/Brazos Valley CoC",123,109,49,86,192
UT-500,Salt Lake City & County CoC,1844,1958,2314,2095,2297
UT-503,Utah Balance of State CoC,793,1006,1056,1221,1165
UT-504,Provo/Mountainland CoC,161,167,195,241,225
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",497,546,834,697,690
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",700,709,564,738,653
VA-502,"Roanoke City & County, Salem CoC",319,276,250,216,334
VA-503,Virginia Beach CoC,260,319,348,352,313
VA-504,Charlottesville CoC,165,188,177,266,191
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",427,425,322,419,480
VA-507,Portsmouth CoC,119,149,92,120,117
VA-508,Lynchburg CoC,78,73,47,84,137
VA-513,"Harrisburg, Winchester/Western Virginia CoC",342,297,267,426,320
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",221,207,180,253,217
VA-521,Virginia Balance of State CoC,761,816,870,1125,1088
VA-600,Arlington County CoC,215,199,171,182,213
VA-601,Fairfax County CoC,1034,1041,1222,1191,1310
VA-602,Loudoun County CoC,167,179,80,99,220
VA-603,Alexandria CoC,198,207,106,120,152
VA-604,Prince William County CoC,280,326,282,241,326
VI-500,Virgin Islands CoC,314,304,177,175,252
VT-500,Vermont Balance of State CoC,780,849,1891,2112,2537
VT-501,Burlington/Chittenden County CoC,309,261,700,668,758
WA-500,Seattle/King County CoC,11199,11751,5183,13368,14149
WA-501,Washington Balance of State CoC,5509,5668,3462,5854,6764
WA-502,Spokane City & County CoC,1309,1559,992,1757,2390
WA-503,"Tacoma, Lakewood/Pierce County CoC",1486,1897,1005,1851,2148
WA-504,Everett/Snohomish County CoC,1116,1132,494,1184,1285
WA-508,Vancouver/Clark County CoC,958,916,375,1197,1300
WI-500,Wisconsin Balance of State CoC,2875,2708,2420,3049,2940
WI-501,Milwaukee City & County CoC,885,970,817,832,1056
WI-502,Racine City & County CoC,200,207,145,193,241
WI-503,Madison/Dane County CoC,578,630,855,701,624
WV-500,"Wheeling, Weirton Area CoC",136,129,86,122,113
WV-501,"Huntington/Cabell, Wayne Counties CoC",171,194,170,235,244
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",293,294,263,298,293
WV-508,West Virginia Balance of State CoC,797,724,619,720,766
WY-500,Wyoming Statewide CoC,548,612,405,648,532
